level,id,name,campaign_id,status,effective_status,daily_budget,lifetime_budget,targeting,optimization_goal,promoted_object,learning_stage_info,created_time,start_time,bid_strategy,attribution_spec,spend,impressions,link_clicks,CPM,link_CTR_pct,link_CPC,completed_saved,new_acquisitions,observed_starts,observed_sessions,CPL_saved,CPL_new,cost_per_observed_start,measurement_flags
AD SET,120250682685570660,CP - landing STEP form /commercial-property-quote (22 states) - $150/day,120250540492410660,ACTIVE,ACTIVE,11719,0,"{""age_max"": 65, ""age_min"": 18, ""age_range"": [18, 65], ""geo_locations"": {""regions"": [{""key"": ""3843"", ""name"": ""Alabama"", ""country"": ""US""}, {""key"": ""3845"", ""name"": ""Arizona"", ""country"": ""US""}, {""key"": ""3846"", ""name"": ""Arkansas"", ""country"": ""US""}, {""key"": ""3848"", ""name"": ""Colorado"", ""country"": ""US""}, {""key"": ""3853"", ""name"": ""Georgia"", ""country"": ""US""}, {""key"": ""3856"", ""name"": ""Illinois"", ""country"": ""US""}, {""key"": ""3857"", ""name"": ""Indiana"", ""country"": ""US""}, {""key"": ""3860"", ""name"": ""Kentucky"", ""country"": ""US""}, {""key"": ""3863"", ""name"": ""Maryland"", ""country"": ""US""}, {""key"": ""3866"", ""name"": ""Minnesota"", ""country"": ""US""}, {""key"": ""3868"", ""name"": ""Missouri"", ""country"": ""US""}, {""key"": ""3871"", ""name"": ""Nevada"", ""country"": ""US""}, {""key"": ""3873"", ""name"": ""New Jersey"", ""country"": ""US""}, {""key"": ""3875"", ""name"": ""New York"", ""country"": ""US""}, {""key"": ""3876"", ""name"": ""North Carolina"", ""country"": ""US""}, {""key"": ""3878"", ""name"": ""Ohio"", ""country"": ""US""}, {""key"": ""3881"", ""name"": ""Pennsylvania"", ""country"": ""US""}, {""key"": ""3883"", ""name"": ""South Carolina"", ""country"": ""US""}, {""key"": ""3885"", ""name"": ""Tennessee"", ""country"": ""US""}, {""key"": ""3886"", ""name"": ""Texas"", ""country"": ""US""}, {""key"": ""3889"", ""name"": ""Virginia"", ""country"": ""US""}, {""key"": ""3892"", ""name"": ""Wisconsin"", ""country"": ""US""}], ""location_types"": [""home"", ""recent""]}, ""targeting_automation"": {""advantage_audience"": 1}, ""publisher_platforms"": [""facebook"", ""instagram""], ""facebook_positions"": [""feed""], ""instagram_positions"": [""stream""], ""device_platforms"": [""mobile"", ""desktop""]}",OFFSITE_CONVERSIONS,"{""pixel_id"": ""831179966599677"", ""custom_event_type"": ""LEAD"", ""smart_pse_enabled"": false}","{""attribution_windows"": [""7d_click""], ""last_sig_edit_ts"": 1787041751, ""status"": ""SUCCESS""}",2026-08-18T00:14:32-0400,2026-08-18T00:14:32-0400,LOWEST_COST_WITHOUT_CAP,"[{""event_type"": ""CLICK_THROUGH"", ""window_days"": 7}]",3201.55,113651,1061,28.17,0.934,3.02,149,144,,225,21.49,22.23,,"S: sessions only since Sep12 01:50 ET; F: starts not historically recorded; C: reconciled completed intakes, including returns"
AD SET,120250540493670660,CP - landing page (23 states) - $50/day,120250540492410660,ACTIVE,ACTIVE,3281,0,"{""age_max"": 65, ""age_min"": 18, ""age_range"": [18, 65], ""geo_locations"": {""regions"": [{""key"": ""3843"", ""name"": ""Alabama"", ""country"": ""US""}, {""key"": ""3845"", ""name"": ""Arizona"", ""country"": ""US""}, {""key"": ""3846"", ""name"": ""Arkansas"", ""country"": ""US""}, {""key"": ""3848"", ""name"": ""Colorado"", ""country"": ""US""}, {""key"": ""3853"", ""name"": ""Georgia"", ""country"": ""US""}, {""key"": ""3856"", ""name"": ""Illinois"", ""country"": ""US""}, {""key"": ""3857"", ""name"": ""Indiana"", ""country"": ""US""}, {""key"": ""3860"", ""name"": ""Kentucky"", ""country"": ""US""}, {""key"": ""3863"", ""name"": ""Maryland"", ""country"": ""US""}, {""key"": ""3866"", ""name"": ""Minnesota"", ""country"": ""US""}, {""key"": ""3868"", ""name"": ""Missouri"", ""country"": ""US""}, {""key"": ""3871"", ""name"": ""Nevada"", ""country"": ""US""}, {""key"": ""3873"", ""name"": ""New Jersey"", ""country"": ""US""}, {""key"": ""3875"", ""name"": ""New York"", ""country"": ""US""}, {""key"": ""3876"", ""name"": ""North Carolina"", ""country"": ""US""}, {""key"": ""3878"", ""name"": ""Ohio"", ""country"": ""US""}, {""key"": ""3881"", ""name"": ""Pennsylvania"", ""country"": ""US""}, {""key"": ""3883"", ""name"": ""South Carolina"", ""country"": ""US""}, {""key"": ""3885"", ""name"": ""Tennessee"", ""country"": ""US""}, {""key"": ""3886"", ""name"": ""Texas"", ""country"": ""US""}, {""key"": ""3889"", ""name"": ""Virginia"", ""country"": ""US""}, {""key"": ""3892"", ""name"": ""Wisconsin"", ""country"": ""US""}], ""location_types"": [""home"", ""recent""]}, ""targeting_automation"": {""advantage_audience"": 1}, ""publisher_platforms"": [""facebook"", ""instagram""], ""facebook_positions"": [""feed""], ""instagram_positions"": [""stream""], ""device_platforms"": [""mobile"", ""desktop""]}",OFFSITE_CONVERSIONS,"{""pixel_id"": ""831179966599677"", ""custom_event_type"": ""LEAD"", ""smart_pse_enabled"": false}","{""attribution_windows"": [""7d_click""], ""last_sig_edit_ts"": 1789225678, ""status"": ""SUCCESS""}",2026-08-11T23:42:56-0400,2026-08-11T23:42:56-0400,LOWEST_COST_WITHOUT_CAP,"[{""event_type"": ""CLICK_THROUGH"", ""window_days"": 7}]",2588.19,58178,697,44.49,1.198,3.71,97,96,,39,26.68,26.96,,"S: sessions only since Sep12 01:50 ET; F: starts not historically recorded; C: reconciled completed intakes, including returns"
AD SET,120250540492550660,CP - instant form (23 states) - $50/day,120250540492410660,PAUSED,PAUSED,15000,0,"{""age_max"": 65, ""age_min"": 18, ""age_range"": [18, 65], ""geo_locations"": {""regions"": [{""key"": ""3843"", ""name"": ""Alabama"", ""country"": ""US""}, {""key"": ""3845"", ""name"": ""Arizona"", ""country"": ""US""}, {""key"": ""3846"", ""name"": ""Arkansas"", ""country"": ""US""}, {""key"": ""3848"", ""name"": ""Colorado"", ""country"": ""US""}, {""key"": ""3853"", ""name"": ""Georgia"", ""country"": ""US""}, {""key"": ""3856"", ""name"": ""Illinois"", ""country"": ""US""}, {""key"": ""3857"", ""name"": ""Indiana"", ""country"": ""US""}, {""key"": ""3860"", ""name"": ""Kentucky"", ""country"": ""US""}, {""key"": ""3863"", ""name"": ""Maryland"", ""country"": ""US""}, {""key"": ""3866"", ""name"": ""Minnesota"", ""country"": ""US""}, {""key"": ""3868"", ""name"": ""Missouri"", ""country"": ""US""}, {""key"": ""3871"", ""name"": ""Nevada"", ""country"": ""US""}, {""key"": ""3873"", ""name"": ""New Jersey"", ""country"": ""US""}, {""key"": ""3875"", ""name"": ""New York"", ""country"": ""US""}, {""key"": ""3876"", ""name"": ""North Carolina"", ""country"": ""US""}, {""key"": ""3878"", ""name"": ""Ohio"", ""country"": ""US""}, {""key"": ""3881"", ""name"": ""Pennsylvania"", ""country"": ""US""}, {""key"": ""3883"", ""name"": ""South Carolina"", ""country"": ""US""}, {""key"": ""3885"", ""name"": ""Tennessee"", ""country"": ""US""}, {""key"": ""3886"", ""name"": ""Texas"", ""country"": ""US""}, {""key"": ""3889"", ""name"": ""Virginia"", ""country"": ""US""}, {""key"": ""3892"", ""name"": ""Wisconsin"", ""country"": ""US""}], ""location_types"": [""home"", ""recent""]}, ""targeting_automation"": {""advantage_audience"": 1}, ""publisher_platforms"": [""facebook"", ""instagram""], ""facebook_positions"": [""feed""], ""instagram_positions"": [""stream""], ""device_platforms"": [""mobile"", ""desktop""]}",LEAD_GENERATION,"{""page_id"": ""1187206524478693"", ""smart_pse_enabled"": false}","{""attribution_windows"": [""1d_click""], ""last_sig_edit_ts"": 1787021114}",2026-08-11T23:42:54-0400,2026-08-11T23:42:54-0400,LOWEST_COST_WITHOUT_CAP,,0,0,0,,,,0,0,,0,,,,"S: sessions only since Sep12 01:50 ET; F: starts not historically recorded; C: reconciled completed intakes, including returns"
