level,campaign_id,campaign,window,start,end,first_delivery,created_time,operating_days,calendar_days,spend,impressions,link_clicks,CPM,link_CTR_pct,link_CPC,completed_saved,new_acquisitions,observed_starts,observed_sessions,CPL_saved,CPL_new,cost_per_observed_start,spend_per_operating_day,impressions_per_operating_day,completions_per_operating_day,new_per_operating_day,median_daily_completions,starts_coverage,sessions_coverage,starts_per_operating_day,median_daily_starts,measurement_flags
CAMPAIGN,120251080549940660,Pool,full_operating_history,2026-09-13,2026-09-18,2026-09-13,2026-09-12T22:09:03-0400,6,6,1943.4,41102,276,47.28,0.672,7.04,11,10,19,280,176.67,194.34,102.28,323.9,6850.33,1.833,1.667,1.0,Measured since campaign delivery,Full observed window,3.167,2.5,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18"
CAMPAIGN,120251080550210660,Tree,full_operating_history,2026-09-13,2026-09-18,2026-09-13,2026-09-12T22:09:06-0400,6,6,719.55,25590,125,28.12,0.488,5.76,11,10,20,117,65.41,71.95,35.98,119.92,4265.0,1.833,1.667,2.0,Measured since campaign delivery,Full observed window,3.333,3.5,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18"
CAMPAIGN,120251080550020660,Remodeling / GC,full_operating_history,2026-09-13,2026-09-18,2026-09-13,2026-09-12T22:09:04-0400,6,6,1969.74,40816,233,48.26,0.571,8.45,25,25,36,234,78.79,78.79,54.72,328.29,6802.67,4.167,4.167,4.5,Measured since campaign delivery,Full observed window,6.0,6.0,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18"
CAMPAIGN,120251080550110660,Roofing,full_operating_history,2026-09-13,2026-09-18,2026-09-13,2026-09-12T22:09:05-0400,6,6,752.84,8717,55,86.36,0.631,13.69,6,6,13,155,125.47,125.47,57.91,125.47,1452.83,1.0,1.0,0.0,Measured since campaign delivery,Full observed window,2.167,1.5,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18"
CAMPAIGN,120250540492410660,Main property,full_operating_history,2026-08-18,2026-09-18,2026-08-18,2026-08-11T23:42:53-0400,32,32,5789.74,171829,1758,33.69,1.023,3.29,246,240,,264,23.54,24.12,,180.93,5369.66,7.688,7.5,7.0,Not historically instrumented / incomplete,Partial: telemetry starts Sep12 01:50 ET,,,"S: sessions only since Sep12 01:50 ET; F: starts not historically recorded; C: reconciled completed intakes, including returns"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,full_operating_history,2026-08-13,2026-09-18,2026-08-13,2026-08-13T20:05:52-0400,37,37,12565.73,298434,2210,42.11,0.741,5.69,116,115,,261,108.33,109.27,,339.61,8065.78,3.135,3.108,3,Not historically instrumented / incomplete,Partial: telemetry starts Sep12 01:50 ET,,,"S: sessions only since Sep12 01:50 ET; F: starts not historically recorded; C: reconciled completed intakes, including returns"
CAMPAIGN,120251080550890660,HVAC,full_operating_history,2026-09-13,2026-09-18,2026-09-13,2026-09-12T22:09:09-0400,6,6,743.33,15107,83,49.2,0.549,8.96,5,5,8,89,148.67,148.67,92.92,123.89,2517.83,0.833,0.833,1.0,Measured since campaign delivery,Full observed window,1.333,1.0,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18"
CAMPAIGN,120251080550480660,Painting,full_operating_history,2026-09-13,2026-09-18,2026-09-13,2026-09-12T22:09:08-0400,6,6,732.72,11232,70,65.24,0.623,10.47,4,4,9,75,183.18,183.18,81.41,122.12,1872.0,0.667,0.667,0.0,Measured since campaign delivery,Full observed window,1.5,1.5,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18"
CAMPAIGN,120251001083740660,Metro property,full_operating_history,2026-09-08,2026-09-18,2026-09-08,2026-09-08T15:17:53-0400,11,11,1823.11,48627,293,37.49,0.603,6.22,34,32,,30,53.62,56.97,,165.74,4420.64,3.091,2.909,1,Not historically instrumented / incomplete,Partial: telemetry starts Sep12 01:50 ET,,,"S: sessions only since Sep12 01:50 ET; F: starts not historically recorded; C: reconciled completed intakes, including returns"
