Item,Quote A,Quote B,Question or evidence needed
Insurer and quote reference,,,
Quote date and policy period,,,
Named insured and locations,,,
Operations accepted,,,
Annual gross receipts,,,
Employee payroll,,,
Subcontractor costs,,,
Limits and aggregates,,,
Deductible or retention,,,
Occurrence or claims-made terms,,,
Completed operations,,,
Operation-specific exclusions,,,
Subcontractor conditions,,,
Additional insured and required endorsements,,,
Annual premium,,,
Taxes and policy fees,,,
Financing charges,,,
Total payable for the same period,,,
Deposit and installments,,,
Minimum earned premium and cancellation terms,,,
Audit basis and required records,,,
Unanswered questions,,,
